image_id,ethnicity,age,expression
040699.jpg,2,0,1
131241.jpg,2,0,2
019483.jpg,2,0,1
182959.jpg,1,0,0
125683.jpg,2,0,1
174067.jpg,2,1,1
190592.jpg,2,2,1
072345.jpg,2,1,1
037420.jpg,0,0,0
154785.jpg,2,0,1
063294.jpg,2,1,2
185601.jpg,2,0,2
131877.jpg,2,0,1
051555.jpg,2,0,0
053424.jpg,2,0,2
177623.jpg,2,0,1
043835.jpg,1,1,1
055252.jpg,2,1,1
184730.jpg,2,1,0
034198.jpg,2,0,1
127610.jpg,2,2,0
046411.jpg,1,0,0
095666.jpg,1,0,1
136351.jpg,2,1,0
189808.jpg,1,0,2
165327.jpg,2,0,1
061277.jpg,2,1,1
028218.jpg,2,1,0
106747.jpg,2,0,0
103644.jpg,2,0,1
025217.jpg,1,0,1
176009.jpg,2,1,1
073473.jpg,1,1,1
132742.jpg,2,1,0
142404.jpg,2,0,0
072256.jpg,2,0,0
101936.jpg,2,1,0
067955.jpg,2,0,0
168598.jpg,2,0,1
198244.jpg,2,0,0
179170.jpg,0,0,1
055587.jpg,0,0,0
065111.jpg,2,0,1
157612.jpg,1,0,0
174159.jpg,2,0,1
006779.jpg,2,2,2
080623.jpg,2,0,0
161941.jpg,2,0,1
174296.jpg,0,0,1
165735.jpg,1,2,0
080690.jpg,2,0,0
062313.jpg,2,2,0
029806.jpg,2,1,1
099243.jpg,1,0,0
111129.jpg,2,0,1
185456.jpg,2,0,0
005302.jpg,2,1,0
083695.jpg,2,0,1
075131.jpg,2,0,0
094717.jpg,2,0,0
175353.jpg,2,0,1
046795.jpg,2,0,1
146277.jpg,2,0,0
080274.jpg,2,1,0
060805.jpg,2,0,0
090425.jpg,2,0,1
109634.jpg,2,0,1
182622.jpg,2,0,0
083710.jpg,0,0,1
015982.jpg,2,2,0
087410.jpg,2,0,1
104083.jpg,2,0,0
089585.jpg,2,0,1
185225.jpg,2,0,1
171980.jpg,0,0,0
034094.jpg,2,0,1
047981.jpg,2,0,1
027861.jpg,2,0,1
137374.jpg,2,1,1
114314.jpg,2,0,1
011375.jpg,2,1,2
075833.jpg,1,0,0
065114.jpg,2,0,1
085022.jpg,2,0,1
097341.jpg,2,0,1
046792.jpg,1,0,1
081701.jpg,2,0,0
132298.jpg,0,2,1
202405.jpg,2,0,1
053435.jpg,1,2,2
090986.jpg,2,2,1
141891.jpg,2,0,1
075061.jpg,2,2,0
065631.jpg,2,0,1
125907.jpg,2,0,1
092986.jpg,2,0,0
141209.jpg,2,0,0
174109.jpg,2,1,2
082084.jpg,1,0,1
083490.jpg,2,0,2
158109.jpg,0,2,0
095276.jpg,2,0,1
074497.jpg,2,0,2
067463.jpg,2,0,1
118318.jpg,2,0,1
069534.jpg,2,0,0
101983.jpg,2,1,0
090898.jpg,2,0,0
054050.jpg,2,1,0
073077.jpg,2,0,1
051089.jpg,2,2,2
037901.jpg,2,0,0
128075.jpg,2,0,1
146195.jpg,2,0,1
166750.jpg,2,0,0
196160.jpg,0,0,2
173388.jpg,2,1,0
144514.jpg,2,0,0
146270.jpg,2,0,1
159227.jpg,1,0,2
163243.jpg,1,0,1
092601.jpg,2,0,1
155669.jpg,2,0,0
195202.jpg,1,1,2
132739.jpg,2,1,0
180083.jpg,2,0,0
168364.jpg,2,0,1
169354.jpg,2,0,0
055991.jpg,2,1,1
082019.jpg,2,0,1
001404.jpg,2,0,1
200857.jpg,2,0,0
053801.jpg,2,1,1
136708.jpg,0,0,1
127854.jpg,2,0,0
167627.jpg,2,0,0
177879.jpg,2,0,1
030022.jpg,2,0,1
094218.jpg,2,1,0
003184.jpg,2,0,0
197790.jpg,1,0,1
051506.jpg,2,0,0
056447.jpg,2,2,1
160346.jpg,2,1,0
145184.jpg,2,1,1
180470.jpg,2,0,0
041751.jpg,2,0,1
029686.jpg,2,0,1
190587.jpg,2,0,2
085290.jpg,2,0,1
022582.jpg,2,0,1
172045.jpg,2,1,0
129270.jpg,1,0,1
072113.jpg,2,0,1
051707.jpg,2,0,1
056836.jpg,2,0,1
161972.jpg,2,0,2
156899.jpg,1,0,1
118703.jpg,2,0,1
080632.jpg,2,0,2
005156.jpg,2,0,0
002458.jpg,2,1,1
081078.jpg,2,0,1
148666.jpg,2,1,1
170036.jpg,2,0,0
174659.jpg,0,1,0
195465.jpg,0,0,1
022867.jpg,2,1,0
041028.jpg,1,0,0
141953.jpg,2,2,0
066019.jpg,2,0,1
131967.jpg,1,0,0
171549.jpg,2,0,0
102897.jpg,2,1,1
155607.jpg,2,0,1
187671.jpg,2,0,1
169195.jpg,2,0,0
018228.jpg,2,0,1
146671.jpg,2,1,1
076167.jpg,2,0,1
168266.jpg,2,0,1
122220.jpg,2,0,1
016657.jpg,2,0,1
150913.jpg,2,0,1
142037.jpg,0,0,1
108444.jpg,2,0,2
135148.jpg,2,0,1
047911.jpg,2,0,0
037110.jpg,2,0,1
189631.jpg,1,1,2
163376.jpg,2,0,1
039668.jpg,2,0,1
181166.jpg,2,2,0
119367.jpg,2,1,1
070211.jpg,2,0,0
092580.jpg,0,0,1
001021.jpg,2,0,1
080039.jpg,2,0,1
065315.jpg,2,1,0
191040.jpg,2,0,1
117273.jpg,2,0,2
128123.jpg,1,0,0
131766.jpg,2,0,1
034829.jpg,2,1,0
168589.jpg,2,1,1
034738.jpg,2,0,0
040031.jpg,2,0,1
092515.jpg,1,0,0
095544.jpg,2,0,1
087885.jpg,2,1,0
076846.jpg,2,1,0
187276.jpg,0,0,1
038389.jpg,2,2,2
121747.jpg,2,0,1
137517.jpg,2,0,1
168284.jpg,0,1,1
085309.jpg,2,1,0
201871.jpg,2,2,0
043420.jpg,2,1,1
115360.jpg,2,2,1
145181.jpg,2,0,2
095165.jpg,2,0,1
144541.jpg,2,0,1
001635.jpg,2,0,0
183332.jpg,2,0,1
094646.jpg,0,0,1
201067.jpg,2,2,0
026583.jpg,2,0,1
058506.jpg,2,0,0
084101.jpg,2,0,1
123548.jpg,2,0,1
029882.jpg,2,1,2
032399.jpg,2,1,0
165380.jpg,1,0,1
020192.jpg,2,1,1
119145.jpg,2,0,1
022535.jpg,2,1,1
047646.jpg,2,0,0
065266.jpg,0,0,1
185203.jpg,1,0,0
187683.jpg,0,0,0
065760.jpg,2,0,1
024159.jpg,0,0,0
124253.jpg,2,0,1
188207.jpg,0,0,1
191628.jpg,2,1,1
154722.jpg,2,0,1
013048.jpg,2,1,1
049042.jpg,1,0,1
108137.jpg,2,0,2
113469.jpg,2,1,1
140983.jpg,0,0,0
030642.jpg,1,2,0
181135.jpg,2,0,1
069507.jpg,2,0,0
067450.jpg,2,1,0
026038.jpg,2,1,1
052165.jpg,2,0,1
150174.jpg,0,0,1
143077.jpg,2,0,0
156843.jpg,2,1,2
113727.jpg,2,1,1
015029.jpg,2,0,0
145254.jpg,0,0,0
075232.jpg,2,1,2
049530.jpg,2,0,1
054214.jpg,2,0,2
097973.jpg,2,1,1
119459.jpg,2,0,0
112003.jpg,2,1,1
054424.jpg,2,1,1
106957.jpg,2,0,0
192105.jpg,2,1,2
195331.jpg,0,0,1
165753.jpg,2,0,1
130031.jpg,1,0,1
083417.jpg,2,0,1
011865.jpg,2,0,1
002700.jpg,2,1,1
076603.jpg,2,0,1
059187.jpg,0,0,1
079935.jpg,2,1,0
185126.jpg,2,1,1
065345.jpg,2,0,1
169125.jpg,2,1,1
093075.jpg,2,0,2
057085.jpg,2,0,0
164608.jpg,2,1,1
128508.jpg,2,0,0
001494.jpg,2,1,1
128000.jpg,2,0,0
117399.jpg,2,1,0
006642.jpg,2,0,2
049873.jpg,0,0,0
144152.jpg,2,1,1
197544.jpg,0,0,0
182410.jpg,2,1,2
168124.jpg,2,1,1
069068.jpg,2,1,1
100753.jpg,0,1,1
128395.jpg,2,1,0
112194.jpg,2,1,0
049663.jpg,2,0,1
041790.jpg,2,0,1
107731.jpg,2,0,1
076331.jpg,2,0,1
176063.jpg,2,1,0
064681.jpg,2,2,0
172780.jpg,1,0,1
035271.jpg,1,0,2
026010.jpg,2,0,1
000860.jpg,2,0,1
193391.jpg,2,0,0
197379.jpg,2,1,1
190176.jpg,1,0,1
070458.jpg,2,1,1
082017.jpg,2,0,0
134165.jpg,2,0,1
134624.jpg,2,0,0
001524.jpg,2,0,1
096957.jpg,2,0,0
198132.jpg,2,0,1
197095.jpg,2,0,0
058431.jpg,0,0,1
007084.jpg,1,1,1
191288.jpg,2,0,1
158787.jpg,2,0,1
105392.jpg,2,1,0
117382.jpg,0,0,1
062239.jpg,2,0,1
009391.jpg,2,0,1
000873.jpg,2,0,1
177630.jpg,2,0,1
157062.jpg,2,0,0
051171.jpg,2,0,0
198669.jpg,2,1,1
124868.jpg,2,0,0
096468.jpg,0,0,0
178252.jpg,2,1,1
088267.jpg,2,0,1
012386.jpg,2,0,1
130829.jpg,2,0,0
055461.jpg,2,0,0
055577.jpg,2,0,2
054525.jpg,2,0,1
079523.jpg,2,0,2
005925.jpg,2,0,1
093369.jpg,2,1,1
147007.jpg,2,1,1
053148.jpg,2,0,1
178042.jpg,2,0,2
194342.jpg,2,2,0
015293.jpg,2,0,0
135319.jpg,2,1,0
071472.jpg,2,1,0
177928.jpg,2,1,0
064254.jpg,2,2,1
169213.jpg,1,1,0
087656.jpg,2,0,1
133480.jpg,2,0,0
064389.jpg,2,1,0
117661.jpg,1,0,1
166053.jpg,2,0,1
075330.jpg,2,0,0
035956.jpg,1,0,1
031639.jpg,2,2,0
146954.jpg,2,0,0
044201.jpg,2,0,1
078224.jpg,2,0,1
195093.jpg,2,0,0
029458.jpg,2,1,1
136085.jpg,0,0,0
131150.jpg,2,1,1
028616.jpg,1,0,1
145290.jpg,2,0,1
125401.jpg,2,0,1
154903.jpg,2,0,0
164767.jpg,1,0,1
015035.jpg,2,0,0
175578.jpg,0,1,1
021492.jpg,2,1,0
075385.jpg,2,1,0
008888.jpg,2,0,2
163728.jpg,0,0,2
193285.jpg,2,1,0
077720.jpg,2,1,2
177505.jpg,1,0,1
187867.jpg,0,1,1
110977.jpg,2,0,0
042782.jpg,2,1,0
129235.jpg,2,1,0
157240.jpg,1,0,1
115110.jpg,1,1,0
009411.jpg,0,0,0
187982.jpg,2,0,0
169535.jpg,2,0,1
184533.jpg,2,0,1
022538.jpg,2,0,1
115761.jpg,2,0,0
085616.jpg,0,0,2
133560.jpg,2,0,0
123204.jpg,2,0,2
140895.jpg,1,0,0
190533.jpg,2,1,1
124496.jpg,2,0,0
005285.jpg,1,0,1
137779.jpg,2,0,1
183008.jpg,2,0,0
022065.jpg,2,0,1
105879.jpg,2,0,0
035042.jpg,0,2,1
117212.jpg,2,0,1
114084.jpg,2,0,1
141069.jpg,2,0,0
178473.jpg,2,0,0
079335.jpg,2,0,1
051256.jpg,2,2,1
122436.jpg,2,0,1
006389.jpg,2,2,2
130230.jpg,1,0,0
107102.jpg,2,1,0
100752.jpg,2,1,0
153559.jpg,2,1,0
152510.jpg,2,1,0
000894.jpg,2,1,1
194395.jpg,2,0,1
146806.jpg,2,0,1
195962.jpg,2,0,1
146215.jpg,1,0,0
134921.jpg,2,0,0
144820.jpg,2,1,1
062429.jpg,2,1,0
042834.jpg,2,1,1
032160.jpg,2,0,1
119625.jpg,2,0,0
129254.jpg,2,0,0
087888.jpg,1,0,1
105899.jpg,2,1,1
001652.jpg,2,1,0
014821.jpg,2,0,1
079478.jpg,2,0,2
149808.jpg,2,0,0
000887.jpg,2,2,2
081077.jpg,2,0,0
103163.jpg,0,0,1
120075.jpg,1,0,1
079006.jpg,2,1,1
114951.jpg,2,2,1
157010.jpg,1,0,1
197369.jpg,2,0,1
039610.jpg,2,0,1
090750.jpg,2,0,2
029404.jpg,2,2,0
060449.jpg,2,1,1
064560.jpg,0,0,1
058196.jpg,2,1,1
188448.jpg,2,0,0
095830.jpg,0,0,0
090186.jpg,2,0,1
172684.jpg,2,0,1
089447.jpg,2,0,1
111405.jpg,2,2,2
171703.jpg,2,0,0
108553.jpg,2,0,1
056931.jpg,2,0,1
082389.jpg,2,0,1
072581.jpg,1,0,1
031401.jpg,2,0,1
135593.jpg,0,0,1
022547.jpg,2,2,1
096636.jpg,2,1,1
020002.jpg,2,2,2
023134.jpg,2,1,1
030461.jpg,1,0,1
005745.jpg,2,1,1
132515.jpg,2,0,1
006777.jpg,2,0,1
042665.jpg,1,0,1
083426.jpg,2,0,2
042987.jpg,2,0,1
009644.jpg,2,2,0
187607.jpg,2,1,1
084158.jpg,2,0,0
052085.jpg,2,0,1
013063.jpg,2,0,0
133821.jpg,2,1,1
013556.jpg,2,0,1
168090.jpg,2,0,0
069544.jpg,0,0,0
005823.jpg,2,1,2
026652.jpg,2,1,1
026216.jpg,2,0,2
059813.jpg,2,0,2
027486.jpg,1,0,0
001591.jpg,2,0,0
183015.jpg,2,2,0
055676.jpg,0,0,2
196818.jpg,2,0,1
115168.jpg,2,0,0
033674.jpg,2,1,1
176089.jpg,2,1,1
169750.jpg,2,0,1
065717.jpg,2,2,1
101713.jpg,2,1,0
128122.jpg,2,1,0
076944.jpg,2,0,0
000343.jpg,2,2,1
010549.jpg,2,0,0
002273.jpg,1,0,1
188255.jpg,2,0,2
017292.jpg,1,0,0
183982.jpg,2,0,1
059097.jpg,2,1,2
155570.jpg,2,0,1
002538.jpg,2,0,1
099899.jpg,2,1,1
170194.jpg,1,1,2
147008.jpg,2,1,1
004040.jpg,0,0,1
180764.jpg,2,0,0
084801.jpg,2,0,0
079142.jpg,2,0,0
132936.jpg,2,1,1
136921.jpg,2,0,0
108775.jpg,2,0,0
137308.jpg,1,0,1
157335.jpg,2,2,0
012098.jpg,2,1,0
059037.jpg,2,1,0
178562.jpg,2,0,1
167621.jpg,2,1,1
158559.jpg,2,0,2
192291.jpg,1,0,0
136939.jpg,2,1,1
057750.jpg,0,0,1
195670.jpg,2,1,1
075654.jpg,2,0,2
198026.jpg,1,0,1
008248.jpg,2,1,1
019123.jpg,2,1,1
158599.jpg,2,0,1
149560.jpg,2,0,0
133337.jpg,2,1,1
149388.jpg,2,0,1
187878.jpg,2,1,1
195923.jpg,2,0,1
135174.jpg,0,0,1
142289.jpg,2,0,1
032776.jpg,1,2,0
005403.jpg,2,0,0
180360.jpg,2,1,0
039815.jpg,2,1,1
177381.jpg,2,1,2
046167.jpg,2,0,2
074198.jpg,2,1,0
122870.jpg,2,0,1
197039.jpg,2,0,1
039391.jpg,2,2,0
165792.jpg,2,0,0
128153.jpg,2,0,1
060471.jpg,1,0,1
076938.jpg,2,0,1
110521.jpg,2,0,1
028230.jpg,2,1,1
013279.jpg,2,0,1
091461.jpg,2,0,1
128596.jpg,2,1,0
063972.jpg,2,1,1
112859.jpg,2,1,2
021373.jpg,1,0,1
195321.jpg,2,2,1
090296.jpg,2,0,0
159676.jpg,2,2,0
041569.jpg,2,0,0
005019.jpg,2,1,1
114610.jpg,2,1,1
158650.jpg,2,0,1
191093.jpg,2,0,0
137953.jpg,2,1,0
028931.jpg,2,0,0
140399.jpg,2,0,0
159788.jpg,2,0,0
030694.jpg,2,0,1
128905.jpg,2,2,0
018155.jpg,2,1,1
065636.jpg,1,0,0
047535.jpg,2,0,0
043329.jpg,2,1,0
186973.jpg,2,0,0
049296.jpg,2,1,2
190191.jpg,2,0,1
082580.jpg,1,0,1
117422.jpg,2,2,0
001325.jpg,2,1,0
048801.jpg,1,0,1
022870.jpg,1,0,0
017555.jpg,2,1,1
039706.jpg,2,0,0
080218.jpg,0,0,0
071503.jpg,2,1,2
162375.jpg,2,0,1
195488.jpg,1,0,0
063678.jpg,2,1,1
083621.jpg,2,0,1
130577.jpg,2,0,1
015950.jpg,2,1,2
