image_id,ethnicity,facial_expression
040699.jpg,2,0
131241.jpg,0,1
019483.jpg,2,1
182959.jpg,1,0
125683.jpg,2,0
174067.jpg,1,2
190592.jpg,2,0
072345.jpg,2,1
037420.jpg,0,0
154785.jpg,2,0
063294.jpg,2,2
185601.jpg,2,2
131877.jpg,2,1
051555.jpg,2,0
053424.jpg,2,2
177623.jpg,2,1
043835.jpg,1,1
055252.jpg,2,2
184730.jpg,1,0
034198.jpg,2,2
127610.jpg,2,0
046411.jpg,1,0
095666.jpg,1,0
136351.jpg,2,0
189808.jpg,1,1
165327.jpg,1,0
061277.jpg,2,0
028218.jpg,1,0
106747.jpg,2,0
103644.jpg,2,0
025217.jpg,1,0
176009.jpg,2,0
073473.jpg,1,1
132742.jpg,2,0
142404.jpg,2,0
072256.jpg,2,0
101936.jpg,2,0
067955.jpg,2,0
168598.jpg,2,2
198244.jpg,0,1
179170.jpg,0,1
055587.jpg,0,0
065111.jpg,2,1
157612.jpg,1,0
174159.jpg,2,1
006779.jpg,2,2
080623.jpg,2,0
161941.jpg,2,2
174296.jpg,0,1
165735.jpg,1,2
080690.jpg,2,0
062313.jpg,2,0
029806.jpg,2,0
099243.jpg,1,0
111129.jpg,2,2
185456.jpg,2,0
005302.jpg,0,0
083695.jpg,2,0
075131.jpg,2,0
094717.jpg,2,0
175353.jpg,2,1
046795.jpg,1,0
146277.jpg,2,0
080274.jpg,2,0
060805.jpg,2,0
090425.jpg,2,2
109634.jpg,2,1
182622.jpg,2,0
083710.jpg,0,2
015982.jpg,2,0
087410.jpg,2,2
104083.jpg,2,0
089585.jpg,2,0
185225.jpg,1,0
171980.jpg,0,0
034094.jpg,2,0
047981.jpg,2,0
027861.jpg,1,0
137374.jpg,2,1
114314.jpg,2,2
011375.jpg,2,1
075833.jpg,1,0
065114.jpg,1,2
085022.jpg,0,0
097341.jpg,2,2
046792.jpg,1,2
081701.jpg,2,0
132298.jpg,0,2
202405.jpg,2,0
053435.jpg,1,1
090986.jpg,2,1
141891.jpg,2,0
075061.jpg,2,0
065631.jpg,1,2
125907.jpg,2,1
092986.jpg,2,0
141209.jpg,1,0
174109.jpg,2,2
082084.jpg,1,0
083490.jpg,2,2
158109.jpg,0,0
095276.jpg,1,0
074497.jpg,2,2
067463.jpg,2,0
118318.jpg,1,0
069534.jpg,2,0
101983.jpg,2,0
090898.jpg,2,0
054050.jpg,2,0
073077.jpg,2,0
051089.jpg,2,1
037901.jpg,2,2
128075.jpg,1,1
146195.jpg,2,0
166750.jpg,2,0
196160.jpg,0,2
173388.jpg,2,0
144514.jpg,2,0
146270.jpg,2,0
159227.jpg,1,2
163243.jpg,1,0
092601.jpg,2,2
155669.jpg,2,0
195202.jpg,1,2
132739.jpg,2,0
180083.jpg,2,0
168364.jpg,2,1
